State;Profession;Profesion Key;Agree terms conditions;Card Mastercard;Source;Edad;Region Pais
4;administradora;36;VERDADERO;VERDADERO;;36;Región Metropolitana de Santiago
4;Administraci??n de ventas;37;VERDADERO;FALSO;;27;Libertador General Bernardo OHiggins
4;Estudiante y Trabajador;38;VERDADERO;FALSO;;25;Región Metropolitana de Santiago
4;trabajadora independiente;39;VERDADERO;FALSO;;26;Región Metropolitana de Santiago
4;estudiante;2;VERDADERO;FALSO;;24;La Araucanía
4;Administrativo de bodega;40;VERDADERO;FALSO;;26;Región Metropolitana de Santiago
4;vendedora;35;VERDADERO;FALSO;;32;Región Metropolitana de Santiago
4;INGENIERO;18;VERDADERO;VERDADERO;;44;Región Metropolitana de Santiago
4;cesante;41;VERDADERO;FALSO;;42;Bío-Bío
4;analista de marketing;42;VERDADERO;FALSO;;25;Región Metropolitana de Santiago
4;dise?±ador;43;VERDADERO;FALSO;;23;Región Metropolitana de Santiago
4;locutor;44;VERDADERO;FALSO;;45;Libertador General Bernardo OHiggins
4;administrativa;45;VERDADERO;VERDADERO;;26;Región Metropolitana de Santiago
4;secretaria;46;VERDADERO;VERDADERO;;38;Región Metropolitana de Santiago
4;trabajo;47;VERDADERO;FALSO;;25;Región Metropolitana de Santiago
4;supervisor;48;VERDADERO;FALSO;;37;Región Metropolitana de Santiago
4;bartender;49;VERDADERO;VERDADERO;;25;Valparaíso
4;secretaria;46;VERDADERO;FALSO;;55;Maule
4;due?±a de casa;8;VERDADERO;FALSO;;40;Región Metropolitana de Santiago
4;Ejecutivo;50;VERDADERO;VERDADERO;;32;Región Metropolitana de Santiago
4;estudiante;2;VERDADERO;FALSO;;22;Valparaíso
4;supervisor en Starbucks;51;VERDADERO;FALSO;;23;Región Metropolitana de Santiago
4;Ejecutivo de Atenci??n al cliente;52;VERDADERO;FALSO;;25;Región Metropolitana de Santiago
4;TENS;53;VERDADERO;FALSO;;26;Maule
4;t?©cnico mec?°nico;54;VERDADERO;FALSO;;41;Región Metropolitana de Santiago
4;Designer;55;VERDADERO;FALSO;;29;Región Metropolitana de Santiago
4;guardia de seguridad;27;VERDADERO;FALSO;;37;Los Lagos
4;ingeniero;18;VERDADERO;VERDADERO;;37;Región Metropolitana de Santiago
4;Ingeniero;18;VERDADERO;VERDADERO;;42;Región Metropolitana de Santiago
4;Ingeniero;18;VERDADERO;VERDADERO;;31;Región Metropolitana de Santiago
4;cesante;41;VERDADERO;FALSO;;51;Región Metropolitana de Santiago
4;guardia de seguridad;27;VERDADERO;FALSO;;43;Región Metropolitana de Santiago
4;estudiante;2;VERDADERO;FALSO;;26;Libertador General Bernardo OHiggins
4;Ejecutivo;50;VERDADERO;FALSO;;34;Región Metropolitana de Santiago
4;contador p??blico;56;VERDADERO;FALSO;;39;Región Metropolitana de Santiago
4;Maestra;57;VERDADERO;FALSO;;35;Región Metropolitana de Santiago
4;postulante escuela naval;58;VERDADERO;FALSO;;19;Región Metropolitana de Santiago
4;creador de aplicaciones;59;VERDADERO;FALSO;;28;Región Metropolitana de Santiago
4;otros;60;VERDADERO;FALSO;;59;Región Metropolitana de Santiago
4;Estudiante;2;VERDADERO;FALSO;;22;Región Metropolitana de Santiago
4;publicidad;61;VERDADERO;FALSO;;37;Los Lagos
4;SIN ACTIVIDAD;3;VERDADERO;FALSO;;40;Los Ríos
4;estudiante;2;VERDADERO;VERDADERO;;20;Región Metropolitana de Santiago
4;bombero;62;VERDADERO;FALSO;;19;Bío-Bío
4;estudiante de derecho;63;VERDADERO;FALSO;;27;La Araucanía
4;profesor;64;VERDADERO;VERDADERO;;33;La Araucanía
4;Empaque;65;VERDADERO;FALSO;;24;Maule
4;Estudiante;2;VERDADERO;FALSO;;20;Valparaíso
4;Estudiante;2;VERDADERO;FALSO;;20;Región Metropolitana de Santiago
4;microempresa;66;VERDADERO;FALSO;;51;Los Lagos
4;Estudiante;2;VERDADERO;FALSO;;27;Región Metropolitana de Santiago
4;administrativo;67;VERDADERO;VERDADERO;;22;Libertador General Bernardo OHiggins
4;soldador;5;VERDADERO;FALSO;;20;Región Metropolitana de Santiago
4;estudiante;2;VERDADERO;FALSO;;23;Región Metropolitana de Santiago
4;oficial de ej?©rcito;68;VERDADERO;VERDADERO;;25;Antofagasta
4;gerente;69;VERDADERO;FALSO;;34;Bío-Bío
4;vendedor;70;VERDADERO;FALSO;;67;Región Metropolitana de Santiago
4;vagabundo profesional;71;VERDADERO;VERDADERO;;22;Arica y Parinacota
4;trabajo;47;VERDADERO;FALSO;;30;Región Metropolitana de Santiago
4;Estudiante;2;VERDADERO;VERDADERO;;19;Bío-Bío
4;independiente;72;VERDADERO;FALSO;;21;Región Metropolitana de Santiago
4;Jornal;73;VERDADERO;FALSO;;18;Los Ríos
4;publicista;74;VERDADERO;FALSO;;33;Región Metropolitana de Santiago
4;Contabilidad;75;VERDADERO;FALSO;;38;Libertador General Bernardo OHiggins
4;maestro el?©ctrico;76;VERDADERO;FALSO;;38;Región Metropolitana de Santiago
4;t?©cnico jur??dico;77;VERDADERO;FALSO;;34;Región Metropolitana de Santiago
4;ejecutiva;78;VERDADERO;FALSO;;61;Región Metropolitana de Santiago
4;mec?°nico;79;VERDADERO;FALSO;;23;Coquimbo
4;due?±a de casa;8;VERDADERO;FALSO;;59;La Araucanía
4;trabajo temporada;80;VERDADERO;FALSO;;22;Bío-Bío
4;Independiente;72;VERDADERO;FALSO;;47;Región Metropolitana de Santiago
4;due?±a de casa;8;VERDADERO;FALSO;;21;Libertador General Bernardo OHiggins
4;soporte tecnico;81;VERDADERO;FALSO;;23;Región Metropolitana de Santiago
4;Auxiliar Administrativo;82;VERDADERO;FALSO;;57;Región Metropolitana de Santiago
4;Tecnico en Telecomunicaciones;83;VERDADERO;FALSO;;24;Maule
4;INGENIERO;18;VERDADERO;FALSO;;49;Región Metropolitana de Santiago
4;administrativo;67;VERDADERO;VERDADERO;;36;Región Metropolitana de Santiago
4;Estudiante;2;VERDADERO;FALSO;;26;Libertador General Bernardo OHiggins
4;tecnico;12;VERDADERO;FALSO;;25;Región Metropolitana de Santiago
4;estudiante;2;VERDADERO;FALSO;;18;Maule
4;due?±a de casa;8;VERDADERO;VERDADERO;;35;Valparaíso
4;Estudiante;2;VERDADERO;VERDADERO;;19;Bío-Bío
4;due?±a de casa;8;VERDADERO;VERDADERO;;64;Bío-Bío
4;Estudiante;2;VERDADERO;VERDADERO;;20;Maule
4;uber;84;VERDADERO;FALSO;;44;Región Metropolitana de Santiago
4;chileno;85;VERDADERO;FALSO;;31;Región Metropolitana de Santiago
4;trabajador minera;86;VERDADERO;FALSO;;55;Antofagasta
4;Estudiante;2;VERDADERO;FALSO;;23;Maule
4;due?±a de casa;8;VERDADERO;FALSO;;50;Maule
4;Psic??loga;87;VERDADERO;FALSO;;25;Región Metropolitana de Santiago
4;comerciante;32;VERDADERO;FALSO;;62;Libertador General Bernardo OHiggins
4;trabajando;88;VERDADERO;FALSO;;48;Libertador General Bernardo OHiggins
4;Estudiante;2;VERDADERO;FALSO;;18;Bío-Bío
4;jubilada;89;VERDADERO;VERDADERO;;75;Región Metropolitana de Santiago
4;actriz;90;VERDADERO;VERDADERO;;29;Región Metropolitana de Santiago
4;empleado;4;VERDADERO;VERDADERO;;36;Libertador General Bernardo OHiggins
4;estudiando;91;VERDADERO;FALSO;;18;Los Lagos
4;uber;84;VERDADERO;FALSO;;42;Maule
4;Administracion;92;VERDADERO;FALSO;;47;Región Metropolitana de Santiago
4;Estudiante;2;VERDADERO;FALSO;;18;Región Metropolitana de Santiago
4;dise?±ador grafico;93;VERDADERO;FALSO;;37;Región Metropolitana de Santiago
4;repartidor de comida;94;VERDADERO;VERDADERO;;18;Maule
4;jefe de local;95;VERDADERO;FALSO;;40;Bío-Bío
4;Trabajadora y estudiante;96;VERDADERO;FALSO;;21;Región Metropolitana de Santiago
4;Estudiante;2;VERDADERO;FALSO;;23;Maule
4;due?±a de casa;8;VERDADERO;FALSO;;49;Valparaíso
4;estudiante;2;VERDADERO;VERDADERO;;20;Valparaíso
4;inspectora de trafico;97;VERDADERO;VERDADERO;;29;Región Metropolitana de Santiago
4;trabajador;98;VERDADERO;FALSO;;22;Maule
4;estudiante;2;VERDADERO;FALSO;;19;Región Metropolitana de Santiago
4;Costurera;99;VERDADERO;FALSO;;47;Coquimbo
4;dependiente;31;VERDADERO;FALSO;;27;Región Metropolitana de Santiago
4;administrativo contable;100;VERDADERO;FALSO;;36;La Araucanía
4;Trabajadora independiente;39;VERDADERO;FALSO;;58;Región Metropolitana de Santiago
4;Terapeuta ocupacional;101;VERDADERO;FALSO;;28;Bío-Bío
4;trabajar;102;VERDADERO;FALSO;;27;Región Metropolitana de Santiago
4;estudiante;2;VERDADERO;FALSO;;20;Región Metropolitana de Santiago
4;Asistente de la Educaci??n;103;VERDADERO;VERDADERO;;49;Valparaíso
4;abogado;104;VERDADERO;VERDADERO;;34;Maule
4;sin oficio;105;VERDADERO;FALSO;;20;Bío-Bío
4;piscinero;106;VERDADERO;FALSO;;24;Bío-Bío
4;Estudiante;2;VERDADERO;FALSO;;31;La Araucanía
4;cocinero;107;VERDADERO;FALSO;;41;Los Ríos
4;Vendedor;70;VERDADERO;VERDADERO;;25;Maule
4;secretaria;46;VERDADERO;FALSO;;35;Antofagasta
4;Ingeniero Comercial;108;VERDADERO;VERDADERO;;43;Región Metropolitana de Santiago
4;trabajdor;109;VERDADERO;FALSO;;19;Bío-Bío
4;trabajador;98;VERDADERO;FALSO;;28;Libertador General Bernardo OHiggins
4;peluquera;110;VERDADERO;FALSO;;40;Región Metropolitana de Santiago
4;Estudiante;2;VERDADERO;FALSO;;19;Región Metropolitana de Santiago
4;administrador de redes;111;VERDADERO;FALSO;;43;Región Metropolitana de Santiago
4;due?±a de casa;8;VERDADERO;FALSO;;24;Región Metropolitana de Santiago
4;vendedora;35;VERDADERO;FALSO;;23;Los Lagos
4;trabajadora independiente;39;VERDADERO;FALSO;;21;Región Metropolitana de Santiago
4;estudiante;2;VERDADERO;FALSO;;26;Valparaíso
4;Operaria;112;VERDADERO;VERDADERO;;20;Región Metropolitana de Santiago
4;contador;113;VERDADERO;FALSO;;26;Región Metropolitana de Santiago
4;carpintero;114;VERDADERO;FALSO;;36;Los Ríos
4;estudiante;2;VERDADERO;VERDADERO;;21;Región Metropolitana de Santiago
4;maestro;115;VERDADERO;FALSO;;24;Maule
4;estudiante;2;VERDADERO;FALSO;;19;Bío-Bío
4;desempleada;116;VERDADERO;FALSO;;24;Región Metropolitana de Santiago
4;conserje;117;VERDADERO;FALSO;;23;Región Metropolitana de Santiago
4;peoneta;118;VERDADERO;FALSO;;21;Valparaíso
4;turismo;119;VERDADERO;FALSO;;54;Valparaíso
4;chileno;85;VERDADERO;VERDADERO;;67;Región Metropolitana de Santiago
4;estudiante;2;VERDADERO;VERDADERO;;27;Bío-Bío
4;due?±a de casa;8;VERDADERO;FALSO;;39;Región Metropolitana de Santiago
4;Estudiante;2;VERDADERO;FALSO;;23;Los Lagos
4;PERIODISTA;120;VERDADERO;FALSO;;55;Región Metropolitana de Santiago
4;estudiante;2;VERDADERO;FALSO;;31;Bío-Bío
4;trabajando;88;VERDADERO;FALSO;;48;Región Metropolitana de Santiago
4;encargado;121;VERDADERO;FALSO;;31;Región Metropolitana de Santiago
4;constructor;122;VERDADERO;FALSO;;21;Región Metropolitana de Santiago
4;tecnico;12;VERDADERO;VERDADERO;;48;Región Metropolitana de Santiago
4;particular;123;VERDADERO;FALSO;;44;Región Metropolitana de Santiago
4;ingeniero civil industrial;124;VERDADERO;VERDADERO;;26;Región Metropolitana de Santiago
4;estudiante;2;VERDADERO;FALSO;;20;Valparaíso
4;Agr??noma;125;VERDADERO;VERDADERO;;29;Región Metropolitana de Santiago
4;inform?°tico;126;VERDADERO;FALSO;;31;La Araucanía
4;administrativa;45;VERDADERO;VERDADERO;;35;Bío-Bío
4;seguridad;127;VERDADERO;FALSO;;46;Región Metropolitana de Santiago
4;independiente;72;VERDADERO;FALSO;;20;Región Metropolitana de Santiago
4;trabajadora;128;VERDADERO;FALSO;;49;Los Lagos
4;operador de sala;129;VERDADERO;VERDADERO;;28;Coquimbo
4;estudiante;2;VERDADERO;FALSO;;20;Región Metropolitana de Santiago
4;emprendedora;130;VERDADERO;FALSO;;53;Región Metropolitana de Santiago
4;trabajando;88;VERDADERO;VERDADERO;;21;Región Metropolitana de Santiago
4;guardia;131;VERDADERO;FALSO;;21;Región Metropolitana de Santiago
4;horero agricola;132;VERDADERO;FALSO;;49;Los Lagos
4;SECRETARIA(O);133;VERDADERO;FALSO;;75;Región Metropolitana de Santiago
4;due?±a de casa;8;VERDADERO;FALSO;;55;Región Metropolitana de Santiago
4;layout;134;VERDADERO;FALSO;;34;Región Metropolitana de Santiago
4;docente;34;VERDADERO;VERDADERO;;32;Región Metropolitana de Santiago
4;estudiante;2;VERDADERO;FALSO;;22;Región Metropolitana de Santiago
4;casado;135;VERDADERO;VERDADERO;;45;Región Metropolitana de Santiago
4;Estudiante;2;VERDADERO;FALSO;;22;Bío-Bío
4;empleado publico;6;VERDADERO;FALSO;;36;Tarapacá
4;repartidor;136;VERDADERO;FALSO;;56;Región Metropolitana de Santiago
4;estudiante;2;VERDADERO;FALSO;;23;Región Metropolitana de Santiago
4;trabjaador dependiente;137;VERDADERO;FALSO;;31;Región Metropolitana de Santiago
4;estudiante;2;VERDADERO;FALSO;;22;Los Lagos
4;arquitecto;138;VERDADERO;VERDADERO;;28;Región Metropolitana de Santiago
4;cesante;41;VERDADERO;VERDADERO;;18;Valparaíso
4;trabajador;98;VERDADERO;VERDADERO;;52;Región Metropolitana de Santiago
4;estudiante;2;VERDADERO;FALSO;;24;Región Metropolitana de Santiago
4;Publicista;74;VERDADERO;VERDADERO;;27;Región Metropolitana de Santiago
4;asistente de educaci??n;139;VERDADERO;VERDADERO;;35;Región Metropolitana de Santiago
4;Estudiante;2;VERDADERO;VERDADERO;;19;Libertador General Bernardo OHiggins
4;supervisora de campo;140;VERDADERO;FALSO;;37;Región Metropolitana de Santiago
4;Empresario;141;VERDADERO;FALSO;;32;Región Metropolitana de Santiago
4;comerciante;32;VERDADERO;VERDADERO;;27;Región Metropolitana de Santiago
4;independiente;72;VERDADERO;FALSO;;32;Bío-Bío
4;Empleado;4;VERDADERO;FALSO;;52;Región Metropolitana de Santiago
4;Due?±a de casa;8;VERDADERO;VERDADERO;;31;Tarapacá
4;estudiante;2;VERDADERO;FALSO;;18;Bío-Bío
4;trabajadora;128;VERDADERO;VERDADERO;sms_banner_web;28;Bío-Bío
4;asistente;142;VERDADERO;VERDADERO;;25;Región Metropolitana de Santiago
4;due?±a de casa;8;VERDADERO;FALSO;;49;Región Metropolitana de Santiago
4;manipuladora;143;VERDADERO;FALSO;;51;Región Metropolitana de Santiago
4;trabajador;98;VERDADERO;VERDADERO;;31;Región Metropolitana de Santiago
4;vendedor;70;VERDADERO;FALSO;;53;Región Metropolitana de Santiago
4;cesante;41;VERDADERO;FALSO;;18;Región Metropolitana de Santiago
4;mecanico;144;VERDADERO;FALSO;;47;Antofagasta
4;estudiante;2;VERDADERO;FALSO;;24;La Araucanía
4;Estudiante;2;VERDADERO;FALSO;;18;Maule
4;bombera;145;VERDADERO;FALSO;;24;Región Metropolitana de Santiago
4;Trabajador;98;VERDADERO;VERDADERO;;47;Región Metropolitana de Santiago
4;Profesional;146;VERDADERO;FALSO;;24;Región Metropolitana de Santiago
4;Estudiante;2;VERDADERO;VERDADERO;;22;Maule
4;vendedor;70;VERDADERO;FALSO;;60;Región Metropolitana de Santiago
4;estudiante;2;VERDADERO;FALSO;;21;Los Lagos
4;estudiante;2;VERDADERO;FALSO;;19;Atacama
4;asistente tecnico en obras civiles;147;VERDADERO;FALSO;;36;Región Metropolitana de Santiago
4;contador;113;VERDADERO;FALSO;;32;Región Metropolitana de Santiago
4;Contador Auditor;148;VERDADERO;VERDADERO;;38;Región Metropolitana de Santiago
4;Ingeniero En Administraci??n de empresas;149;VERDADERO;FALSO;;31;Región Metropolitana de Santiago
4;operador;150;VERDADERO;FALSO;;43;Región Metropolitana de Santiago
4;construcci??n;151;VERDADERO;FALSO;;34;Coquimbo
4;Empleado;4;VERDADERO;FALSO;;23;Región Metropolitana de Santiago
4;due?±a casa;152;VERDADERO;FALSO;;27;Región Metropolitana de Santiago
4;Nutricionista;153;VERDADERO;FALSO;;26;Libertador General Bernardo OHiggins
4;Estudiante;2;VERDADERO;VERDADERO;;22;Maule
4;Estudiante;2;VERDADERO;FALSO;;20;Los Lagos
4;estudiante;2;VERDADERO;FALSO;;25;Los Lagos
4;Empleado;4;VERDADERO;FALSO;;66;Región Metropolitana de Santiago
4;estudiante;2;VERDADERO;FALSO;;21;Región Metropolitana de Santiago
4;empleado;4;VERDADERO;VERDADERO;;32;Antofagasta
4;Estudiante;2;VERDADERO;VERDADERO;;23;Bío-Bío
4;MATRON(A);154;VERDADERO;FALSO;;37;Valparaíso
4;SECRETARIA(O);133;VERDADERO;VERDADERO;;45;Los Lagos
4;cesante;41;VERDADERO;FALSO;;21;Región Metropolitana de Santiago
4;Estudiante;2;VERDADERO;VERDADERO;;21;Libertador General Bernardo OHiggins
4;estudiante;2;VERDADERO;FALSO;;21;Atacama
4;empleada;155;VERDADERO;FALSO;;66;Los Lagos
4;empleado p??blico;156;VERDADERO;FALSO;;29;Región Metropolitana de Santiago
4;trabajador;98;VERDADERO;FALSO;;20;Región Metropolitana de Santiago
4;administrador de empresas marketing;157;VERDADERO;VERDADERO;;26;Bío-Bío
4;PROFESOR;64;VERDADERO;FALSO;;59;Los Lagos
4;chofer locomoci??n colectiva;158;VERDADERO;FALSO;;39;Libertador General Bernardo OHiggins
4;TECNICO DE NIVEL SUPERIOR EN ENFERMERIA;159;VERDADERO;FALSO;;32;Valparaíso
4;estudiante;2;VERDADERO;FALSO;;31;Valparaíso
4;Due?±a de casa;8;VERDADERO;FALSO;;29;Región Metropolitana de Santiago
4;Estudiante;2;VERDADERO;FALSO;;27;Región Metropolitana de Santiago
4;gerente proyectos y desarrollo;160;VERDADERO;FALSO;;44;Región Metropolitana de Santiago
4;preparador f??sico;161;VERDADERO;FALSO;;21;Región Metropolitana de Santiago
4;Ingeniero;18;VERDADERO;FALSO;;27;Región Metropolitana de Santiago
4;estudiante;2;VERDADERO;FALSO;;22;Los Lagos
4;estudiante;2;VERDADERO;FALSO;;23;Los Lagos
4;estudiante universitario;162;VERDADERO;VERDADERO;;22;Valparaíso
4;estudiante;2;VERDADERO;VERDADERO;;22;Región Metropolitana de Santiago
4;Fonoaudi??loga;163;VERDADERO;FALSO;;23;Bío-Bío
4;guardia de seguridad;27;VERDADERO;FALSO;;40;Bío-Bío
4;trabajadora;128;VERDADERO;FALSO;;38;Región Metropolitana de Santiago
4;estudiante;2;VERDADERO;FALSO;;25;Región Metropolitana de Santiago
4;Estudiante;2;VERDADERO;VERDADERO;;21;Bío-Bío
4;independiente;72;VERDADERO;FALSO;;51;Región Metropolitana de Santiago
4;INGENIERO;18;VERDADERO;FALSO;;43;Región Metropolitana de Santiago
4;ESTUDIANTE;2;VERDADERO;FALSO;;21;Región Metropolitana de Santiago
4;due?±a de casa;8;VERDADERO;FALSO;;48;Región Metropolitana de Santiago
4;ingeniero civil;164;VERDADERO;FALSO;;28;Región Metropolitana de Santiago
4;independiente;72;VERDADERO;VERDADERO;;35;La Araucanía
4;desempleado;165;VERDADERO;FALSO;;24;Antofagasta
4;due?±a casa;152;VERDADERO;FALSO;;54;Región Metropolitana de Santiago
4;CONTADOR;113;VERDADERO;FALSO;;59;La Araucanía
4;estudiante;2;VERDADERO;FALSO;;23;Bío-Bío
4;due?±a de casa;8;VERDADERO;FALSO;;39;Bío-Bío
4;estudiante;2;VERDADERO;FALSO;;21;Región Metropolitana de Santiago
4;estudiante;2;VERDADERO;VERDADERO;;24;Los Lagos
4;Abogado;104;VERDADERO;VERDADERO;;28;Región Metropolitana de Santiago
4;inform?°tico;126;VERDADERO;VERDADERO;;35;Región Metropolitana de Santiago
4;estudiante;2;VERDADERO;FALSO;;42;Antofagasta
4;trabajador;98;VERDADERO;VERDADERO;;26;Región Metropolitana de Santiago
4;estudiante;2;VERDADERO;FALSO;;22;Bío-Bío
4;AUXILIAR DE ENFERMERIA;166;VERDADERO;FALSO;;53;La Araucanía
4;carpintero;114;VERDADERO;FALSO;;35;Región Metropolitana de Santiago
4;estudiante;2;VERDADERO;FALSO;;24;La Araucanía
4;funcionario judicial;167;VERDADERO;FALSO;;25;Región Metropolitana de Santiago
4;Estudiante;2;VERDADERO;FALSO;;23;Valparaíso
4;mimir;168;VERDADERO;FALSO;;18;Coquimbo
4;maestro electr??nico instalador;169;VERDADERO;FALSO;;32;Región Metropolitana de Santiago
4;trabajo;47;VERDADERO;FALSO;compara;30;Región Metropolitana de Santiago
4;m??sico;170;VERDADERO;FALSO;;24;Región Metropolitana de Santiago
4;trabajo atenci??n al cliente;171;VERDADERO;FALSO;;29;Región Metropolitana de Santiago
4;ingeniero;18;VERDADERO;VERDADERO;;24;Región Metropolitana de Santiago
4;SECRETARIA(O);133;VERDADERO;VERDADERO;;42;Región Metropolitana de Santiago
4;t?©cnico enfermer??a;172;VERDADERO;FALSO;;39;Región Metropolitana de Santiago
4;Obrero;173;VERDADERO;VERDADERO;;24;Los Lagos
4;Ingeniero;18;VERDADERO;FALSO;;25;Región Metropolitana de Santiago
4;SIN ACTIVIDAD;3;VERDADERO;FALSO;;48;Bío-Bío
4;Estudiante;2;VERDADERO;VERDADERO;;20;Región Metropolitana de Santiago
4;t?©cnico en telefonia;174;VERDADERO;VERDADERO;;28;Región Metropolitana de Santiago
4;Estudiante;2;VERDADERO;FALSO;;23;Región Metropolitana de Santiago
4;puerto;175;VERDADERO;FALSO;;53;Valparaíso
4;Gerente Finanzas;176;VERDADERO;FALSO;;45;Región Metropolitana de Santiago
4;estudiante;2;VERDADERO;VERDADERO;;30;La Araucanía
4;service manager;177;VERDADERO;FALSO;;47;Bío-Bío
4;PROFESOR;64;VERDADERO;VERDADERO;;40;Región Metropolitana de Santiago
4;obrero;173;VERDADERO;FALSO;;41;Valparaíso
4;Desempleado;165;VERDADERO;FALSO;;24;Región Metropolitana de Santiago
4;Ingeniero;18;VERDADERO;VERDADERO;;49;Región Metropolitana de Santiago
4;inspector de calidad;178;VERDADERO;VERDADERO;;25;Región Metropolitana de Santiago
4;Universitaria;179;VERDADERO;FALSO;;23;Región Metropolitana de Santiago
4;INGENIERO;18;VERDADERO;FALSO;;45;Región Metropolitana de Santiago
4;trabajador;98;VERDADERO;VERDADERO;;32;Región Metropolitana de Santiago
4;administrador;180;VERDADERO;FALSO;;42;Bío-Bío
4;estudiante;2;VERDADERO;FALSO;;20;Bío-Bío
4;independiente;72;VERDADERO;VERDADERO;;20;La Araucanía
4;estudiante;2;VERDADERO;VERDADERO;;21;Bío-Bío
4;operador;150;VERDADERO;VERDADERO;;24;Región Metropolitana de Santiago
4;estudiante;2;VERDADERO;FALSO;;21;Valparaíso
4;estilista;181;VERDADERO;FALSO;;40;Región Metropolitana de Santiago
4;Facebook;182;VERDADERO;FALSO;;19;Región Metropolitana de Santiago
4;trabajador dependiente;24;VERDADERO;FALSO;;33;Región Metropolitana de Santiago
4;cesante;41;VERDADERO;FALSO;;27;Coquimbo
4;vendedor;70;VERDADERO;VERDADERO;;23;Región Metropolitana de Santiago
4;Electricista;183;VERDADERO;FALSO;;43;Maule
4;due?±a de casa;8;VERDADERO;FALSO;;48;Valparaíso
4;vendedora;35;VERDADERO;FALSO;;38;Bío-Bío
4;artista;184;VERDADERO;FALSO;;21;Antofagasta
4;COMUNICADOR SOCIAL;185;VERDADERO;FALSO;;54;Región Metropolitana de Santiago
4;Estudiante;2;VERDADERO;FALSO;;19;Maule
4;due?±a de casa;8;VERDADERO;FALSO;;51;Antofagasta
4;estudiante;2;VERDADERO;VERDADERO;;28;Libertador General Bernardo OHiggins
4;estudiante;2;VERDADERO;FALSO;;21;Coquimbo
